text_original,text_processed,true_label,predicted,true_sentiment,predicted_sentiment
i need a hug i dnt feel so good,i need a hug i dnt feel so good,2,1,positive,neutral
"Just finishing shooting, can u believe it, but got the job done","Just finishing shooting, can u believe it, but got the job done",2,1,positive,neutral
I`ve gotten a cold every time I`ve flown somewhere 6+ hr away in the past year. Hope to be back in the pool/on the bike next week.,I`ve gotten a cold every time I`ve flown somewhere 6+ hr away in the past year. Hope to be back in the pool/on the bike next week.,1,2,neutral,positive
wow. hehehe. mushy-mushy mode.,wow. hehehe. mushy-mushy mode.,2,0,positive,negative
"houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hour - heavennn","houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hour - heavennn",2,1,positive,neutral
I got the ticket dismissed,I got the ticket dismissed,2,1,positive,neutral
"I agree, keep it in Star Trek but make it commercially viable! C`mon!","I agree, keep it in Star Trek but make it commercially viable! C`mon!",2,1,positive,neutral
_hansen Darn - I just realised 'pull the other one' would have been a *far* better response to your name suggestion,_hansen Darn - I just realised 'pull the other one' would have been a *far* better response to your name suggestion,2,1,positive,neutral
"Oh Chris, so sorry about Mr. Raccoon. Obviously NOT NOT_a NOT_FEMALE, NOT_cuz NOT_any NOT_female NOT_of NOT_ANY NOT_SPECIES NOT_would NOT_adore NOT_you. NOT_Hugs, NOT_Angel","Oh Chris, so sorry about Mr. Raccoon. Obviously NOT NOT_a NOT_FEMALE, NOT_cuz NOT_any NOT_female NOT_of NOT_ANY NOT_SPECIES NOT_would NOT_adore NOT_you. NOT_Hugs, NOT_Angel",1,0,neutral,negative
"being lazy the rain doe that to me gym&&tanning is possibe, work && a small social gathering around tha corner","being lazy the rain doe that to me gym&&tanning is possibe, work && a small social gathering around tha corner",1,0,neutral,negative
nice beta for easports still no NOT_news NOT_on NOT_the NOT_online NOT_for NOT_madden,nice beta for easports still no NOT_news NOT_on NOT_the NOT_online NOT_for NOT_madden,1,2,neutral,positive
My son`s first tooth came out but he left it at school,My son`s first tooth came out but he left it at school,1,0,neutral,negative
"thanks ALOT, stuck at work with it too","thanks ALOT, stuck at work with it too",2,1,positive,neutral
fine! Going to do my big walk today 20 or so mile,fine! Going to do my big walk today 20 or so mile,2,1,positive,neutral
hey dave im just up in the UK and first thing i done wa put RR on could u play ill be there new kid on the block thanks,hey dave im just up in the UK and first thing i done wa put RR on could u play ill be there new kid on the block thanks,1,2,neutral,positive
I think it go against everything i thought the olympic spirit of Team GB is/was,I think it go against everything i thought the olympic spirit of Team GB is/was,0,1,negative,neutral
he killed everyone for nothing. :o :-ss,he killed everyone for nothing. :o :-ss,0,1,negative,neutral
OFF TOPIC: missed both motorcades. The secret service tricked u all. HASHTAG_bush HASHTAG_clinton,OFF TOPIC: missed both motorcades. The secret service tricked u all. HASHTAG_bush HASHTAG_clinton,1,0,neutral,negative
_xo hey chick u alryt u at dad tmoro we sud do sumin aen like last week we neva dun oot this week lol missed you ha bye hun **,_xo hey chick u alryt u at dad tmoro we sud do sumin aen like last week we neva dun oot this week lol missed you ha bye hun **,0,1,negative,neutral
"$900 cheque to cash tomorrow, why I didn`t get it in the bank I have no NOT_idea. NOT_Feel NOT_safe NOT_to NOT_get NOT_the NOT_500D NOT_now NOT_though NOT_woo","$900 cheque to cash tomorrow, why I didn`t get it in the bank I have no NOT_idea. NOT_Feel NOT_safe NOT_to NOT_get NOT_the NOT_500D NOT_now NOT_though NOT_woo",2,0,positive,negative
Looking for a vibrating phone is like trying to find 'a feeling.',Looking for a vibrating phone is like trying to find 'a feeling.',1,0,neutral,negative
"friday here at last, not NOT_much NOT_fun NOT_when NOT_your NOT_skint NOT_though","friday here at last, not NOT_much NOT_fun NOT_when NOT_your NOT_skint NOT_though",0,1,negative,neutral
Teaching people the beauty of twitter,Teaching people the beauty of twitter,2,1,positive,neutral
Harley Quinn cstm hehehehe not NOT_going NOT_to NOT_the NOT_prom NOT_buaa,Harley Quinn cstm hehehehe not NOT_going NOT_to NOT_the NOT_prom NOT_buaa,1,0,neutral,negative
"Jason Mraz is still serenading me, while I read 'Judicial Supervision of Executive Action in the Commonwealth Caribbean'. BBL!","Jason Mraz is still serenading me, while I read 'Judicial Supervision of Executive Action in the Commonwealth Caribbean'. BBL!",2,1,positive,neutral
Im home where i am about 2 drink alone.,Im home where i am about 2 drink alone.,0,1,negative,neutral
_76 haha. weird?!? no NOT_sunshine NOT_for NOT_us,_76 haha. weird?!? no NOT_sunshine NOT_for NOT_us,1,0,neutral,negative
everyone love u sarah not NOT_just NOT_the NOT_tweeters! NOT_the NOT_today NOT_show NOT_couldnt NOT_stop NOT_raving NOT_about NOT_your NOT_beautifulness...,everyone love u sarah not NOT_just NOT_the NOT_tweeters! NOT_the NOT_today NOT_show NOT_couldnt NOT_stop NOT_raving NOT_about NOT_your NOT_beautifulness...,2,1,positive,neutral
want to go the the vintage paper show but no NOT_one NOT_will NOT_accompany NOT_her,want to go the the vintage paper show but no NOT_one NOT_will NOT_accompany NOT_her,0,1,negative,neutral
"Pretty amazing weekend so far but it bedtime ,, I`m exhausted ! Mothers day tomorrow nighty night","Pretty amazing weekend so far but it bedtime ,, I`m exhausted ! Mothers day tomorrow nighty night",1,2,neutral,positive
"Been working on a framework for web based HASHTAG_SL application. Have product registration, server, login, site, security, & comms all done","Been working on a framework for web based HASHTAG_SL application. Have product registration, server, login, site, security, & comms all done",1,0,neutral,negative
"yeah man, they brought it back on the market a couple year ago...it scarce through","yeah man, they brought it back on the market a couple year ago...it scarce through",0,1,negative,neutral
"Caught up with apprentice last night, poor Howard, it wa Lorraine`s turn to go","Caught up with apprentice last night, poor Howard, it wa Lorraine`s turn to go",1,0,neutral,negative
NO NOT_WAY! NOT_i NOT_didn`t NOT_know NOT_he NOT_was NOT_singing NOT_ROF NOT_thats NOT_without NOT_a NOT_doubt NOT_my NOT_fave NOT_he NOT_has NOT_done NOT_on NOT_idol NOT_thus NOT_far!! NOT_EEP~fangirl NOT_moment,NO NOT_WAY! NOT_i NOT_didn`t NOT_know NOT_he NOT_was NOT_singing NOT_ROF NOT_thats NOT_without NOT_a NOT_doubt NOT_my NOT_fave NOT_he NOT_has NOT_done NOT_on NOT_idol NOT_thus NOT_far!! NOT_EEP~fangirl NOT_moment,2,1,positive,neutral
no NOT_we NOT_had NOT_to NOT_go NOT_to NOT_malibu NOT_to NOT_find NOT_a NOT_beach!,no NOT_we NOT_had NOT_to NOT_go NOT_to NOT_malibu NOT_to NOT_find NOT_a NOT_beach!,1,0,neutral,negative
Yay for St Louis traffic,Yay for St Louis traffic,1,2,neutral,positive
Having a light depression. Just payed an extra bill from last year taxes... Must find a country with a tax that is lower than 56%,Having a light depression. Just payed an extra bill from last year taxes... Must find a country with a tax that is lower than 56%,0,1,negative,neutral
yes... nice. I missed a lot of fun. ** exams. you are looking good...hair,yes... nice. I missed a lot of fun. ** exams. you are looking good...hair,1,2,neutral,positive
"dont be gloomy...go out and get urself ice-cream.or gin,whichever","dont be gloomy...go out and get urself ice-cream.or gin,whichever",2,1,positive,neutral
"More than welcome...would love to do more physically, but family life doesn`t allow","More than welcome...would love to do more physically, but family life doesn`t allow",1,2,neutral,positive
Good Morning good old Germany - I wanna say hello to New York. I`m not NOT_in NOT_love. . .not really.,Good Morning good old Germany - I wanna say hello to New York. I`m not NOT_in NOT_love. . .not really.,1,2,neutral,positive
"'...you`ll never NOT_have NOT_to NOT_be NOT_alone; NOT_i NOT_love NOT_you, NOT_and NOT_that`s NOT_all NOT_i NOT_really NOT_know...'","'...you`ll never NOT_have NOT_to NOT_be NOT_alone; NOT_i NOT_love NOT_you, NOT_and NOT_that`s NOT_all NOT_i NOT_really NOT_know...'",2,1,positive,neutral
_Jo my mask is non-existent at the mo Charis didn`t send me one & I haven`t been bothered to make one! I`m wearing boy clothes!,_Jo my mask is non-existent at the mo Charis didn`t send me one & I haven`t been bothered to make one! I`m wearing boy clothes!,2,0,positive,negative
"Landon now announces, 'Big poopy coming!' every time. I`m just waiting for him to yell that in a store for the first time","Landon now announces, 'Big poopy coming!' every time. I`m just waiting for him to yell that in a store for the first time",1,0,neutral,negative
wish it wasn`t a bank holiday so he could be on the radio this afternoon... but at least he ha another week to come up with some idea,wish it wasn`t a bank holiday so he could be on the radio this afternoon... but at least he ha another week to come up with some idea,1,0,neutral,negative
Woke up late & trying to get ** done before work,Woke up late & trying to get ** done before work,0,1,negative,neutral
"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta. i liked him","oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta. i liked him",1,0,neutral,negative
"My music teacher either expired or forgot about my lesson, leaving me outside waiting for my ride to pick me up for 1 hour.","My music teacher either expired or forgot about my lesson, leaving me outside waiting for my ride to pick me up for 1 hour.",0,1,negative,neutral
"TGIF.,..i wish that saying applied to me, but i work Saturdays","TGIF.,..i wish that saying applied to me, but i work Saturdays",2,1,positive,neutral
Borat wa so less ** URL,Borat wa so less ** URL,1,0,neutral,negative
My husband think my Twittering make me a creeper... whatever.,My husband think my Twittering make me a creeper... whatever.,0,1,negative,neutral
"desktop quad-core Win7 boot time = 2`25', laptop dual-core w/ SSD Win7 boot time = 0` 13' => SSD for desktop arrives in 2 day","desktop quad-core Win7 boot time = 2`25', laptop dual-core w/ SSD Win7 boot time = 0` 13' => SSD for desktop arrives in 2 day",1,0,neutral,negative
hey is there a way u can make a somatic theme for leopard? some theme have installers already that are shapeshifter independent,hey is there a way u can make a somatic theme for leopard? some theme have installers already that are shapeshifter independent,1,2,neutral,positive
Just found out that Mad Men season 3 is delayed until August.,Just found out that Mad Men season 3 is delayed until August.,1,0,neutral,negative
Hi Donnie today i want 2 hear from u that u guy r going to reschedule NC so i dont have 2 b bummed anymore,Hi Donnie today i want 2 hear from u that u guy r going to reschedule NC so i dont have 2 b bummed anymore,1,0,neutral,negative
"_3 U know - kid do what we DO - not NOT_what NOT_we NOT_SAY NOT_... NOT_well, NOT_don`t NOT_we NOT_all, NOT_really NOT_..","_3 U know - kid do what we DO - not NOT_what NOT_we NOT_SAY NOT_... NOT_well, NOT_don`t NOT_we NOT_all, NOT_really NOT_..",2,1,positive,neutral
Special chocr makin round @ Gourds show,Special chocr makin round @ Gourds show,1,2,neutral,positive
it would be cool if they had people make video of themselves miming the song and make one big video so EVERYONE can be in it.,it would be cool if they had people make video of themselves miming the song and make one big video so EVERYONE can be in it.,2,1,positive,neutral
no NOT_problem. NOT_i NOT_wasn`t NOT_really NOT_sure NOT_what NOT_i NOT_was NOT_doing. NOT_it NOT_was NOT_some NOT_application NOT_on NOT_the NOT_twibe NOT_page.,no NOT_problem. NOT_i NOT_wasn`t NOT_really NOT_sure NOT_what NOT_i NOT_was NOT_doing. NOT_it NOT_was NOT_some NOT_application NOT_on NOT_the NOT_twibe NOT_page.,1,0,neutral,negative
thinking my fridge may be dieing...please not NOT_this NOT_week...pleeassseee!!!,thinking my fridge may be dieing...please not NOT_this NOT_week...pleeassseee!!!,1,0,neutral,negative
haha nice to know I`m not NOT_alone! NOT_Working NOT_in NOT_the NOT_BBC NOT_and NOT_can`t NOT_see NOT_it,haha nice to know I`m not NOT_alone! NOT_Working NOT_in NOT_the NOT_BBC NOT_and NOT_can`t NOT_see NOT_it,2,1,positive,neutral
: yes she got all lovey with him&he returned the love&1thing led2 another& also wants2 know y ur mad at her,: yes she got all lovey with him&he returned the love&1thing led2 another& also wants2 know y ur mad at her,1,2,neutral,positive
"word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER","word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER",1,0,neutral,negative
Geoff posted a boo: Coming Home From Tenerife Boo URL,Geoff posted a boo: Coming Home From Tenerife Boo URL,1,0,neutral,negative
Prowse? I got a Christmas card of him last year. & I wish I had the money right now. Saving for an apartment,Prowse? I got a Christmas card of him last year. & I wish I had the money right now. Saving for an apartment,1,2,neutral,positive
"Prayin for dad in Wellington, FL URL (via ). I too live in welly. May i pray f.. URL","Prayin for dad in Wellington, FL URL (via ). I too live in welly. May i pray f.. URL",2,1,positive,neutral
Fkkk at the nurse coughing up my lung,Fkkk at the nurse coughing up my lung,1,0,neutral,negative
I sorry,I sorry,2,0,positive,negative
down side = i have a seat by myself loner. please be a starbucks there.,down side = i have a seat by myself loner. please be a starbucks there.,1,0,neutral,negative
"a reply from would make my life, he reply usually to the people who call him **, then he tell them he willblok them","a reply from would make my life, he reply usually to the people who call him **, then he tell them he willblok them",0,1,negative,neutral
just got back from six flag wicked fun. even tho i almost died!,just got back from six flag wicked fun. even tho i almost died!,0,1,negative,neutral
gaah rain for tomorrow,gaah rain for tomorrow,0,1,negative,neutral
gah! didn`t realize my meeting wa from 9-12,gah! didn`t realize my meeting wa from 9-12,1,0,neutral,negative
U SO funny but u right! I like BSB but Im not NOT_as NOT_fan NOT_than NOT_U NOT_I NOT_love NOT_much NOT_better NOT_Tupac NOT_& NOT_TLC..2 NOT_bad NOT_they`re not NOT_singing NOT_anymore,U SO funny but u right! I like BSB but Im not NOT_as NOT_fan NOT_than NOT_U NOT_I NOT_love NOT_much NOT_better NOT_Tupac NOT_& NOT_TLC..2 NOT_bad NOT_they`re not NOT_singing NOT_anymore,1,2,neutral,positive
I may have come down with something; we`re almost out of tissues! this is not NOT_a NOT_good NOT_season NOT_URL,I may have come down with something; we`re almost out of tissues! this is not NOT_a NOT_good NOT_season NOT_URL,0,1,negative,neutral
I can`t think of a way to express in 140 char how disspointed I am with the advertising on Lifehacker`s Why I Didn`t Buy A Mac article.,I can`t think of a way to express in 140 char how disspointed I am with the advertising on Lifehacker`s Why I Didn`t Buy A Mac article.,0,1,negative,neutral
Tracky Daks are one of the only good thing about the weather getting colder. That and porridge. I just did both,Tracky Daks are one of the only good thing about the weather getting colder. That and porridge. I just did both,2,1,positive,neutral
is almost over the legal limit of db at the garage.,is almost over the legal limit of db at the garage.,0,1,negative,neutral
"I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive","I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive",1,2,neutral,positive
"Plane ticket to UK and everywhere in Europe are BEYOND cheap (for June-Oct!!), but there`s NO NOT_gig NOT_in NOT_the NOT_near NOT_future NOT_announced NOT_yet","Plane ticket to UK and everywhere in Europe are BEYOND cheap (for June-Oct!!), but there`s NO NOT_gig NOT_in NOT_the NOT_near NOT_future NOT_announced NOT_yet",2,1,positive,neutral
Can`t concentrate need a booster to woork,Can`t concentrate need a booster to woork,1,0,neutral,negative
"Just eaten, and feel extremely bloated... now for the not NOT_so NOT_fun NOT_part.","Just eaten, and feel extremely bloated... now for the not NOT_so NOT_fun NOT_part.",0,1,negative,neutral
"Finally, I got my teaching load confusion cleared. I will teach 3 third year section but with a catch.","Finally, I got my teaching load confusion cleared. I will teach 3 third year section but with a catch.",2,1,positive,neutral
URL McFly concert through the year [H]... Don`t have my `06 one though unsure,URL McFly concert through the year [H]... Don`t have my `06 one though unsure,1,0,neutral,negative
can`t sleep throat dry a hell.. ugh ! still gon` wake up fabulous !,can`t sleep throat dry a hell.. ugh ! still gon` wake up fabulous !,1,0,neutral,negative
"? Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace! URL","? Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace! URL",2,1,positive,neutral
"riding daddy`s bike (yes a man`s bike, very convenient! NOT) in the dark without glass on. i wa scared but i survived HAHA","riding daddy`s bike (yes a man`s bike, very convenient! NOT) in the dark without glass on. i wa scared but i survived HAHA",0,1,negative,neutral
"I`m in an 8 now too, but b4 I had kid I wa a 6.5! Darn baby making my foot grow","I`m in an 8 now too, but b4 I had kid I wa a 6.5! Darn baby making my foot grow",1,0,neutral,negative
Better then her getting mad and using the floor,Better then her getting mad and using the floor,1,0,neutral,negative
Making pork stir-fry and brown rice for dinner.,Making pork stir-fry and brown rice for dinner.,1,0,neutral,negative
Watching my fav movie...Two Can Play That Game! 'Ever notice how men start to act up around Spring time?' Shante Smith,Watching my fav movie...Two Can Play That Game! 'Ever notice how men start to act up around Spring time?' Shante Smith,2,1,positive,neutral
woo hoo it friday!! ..wait.. i have to work at the cleaner tomorrow.,woo hoo it friday!! ..wait.. i have to work at the cleaner tomorrow.,2,1,positive,neutral
Anyone else go train tripping on National Train Day? URL Leave a comment of your adventure on the site.,Anyone else go train tripping on National Train Day? URL Leave a comment of your adventure on the site.,1,0,neutral,negative
It`s sunny and I feel really well today! Yippeee!,It`s sunny and I feel really well today! Yippeee!,2,1,positive,neutral
Oh that just made my evening. I forgot Merlin wa on tonight! But it a toss up between Rove and Spielburg on Spielburg on ABC2 choices.,Oh that just made my evening. I forgot Merlin wa on tonight! But it a toss up between Rove and Spielburg on Spielburg on ABC2 choices.,2,1,positive,neutral
Watching Ace of Cakes: LOST edition omfgg,Watching Ace of Cakes: LOST edition omfgg,1,0,neutral,negative
"Boingo connected without fuss this time, but it`s slower`n snail piss... (MDW, Food Count between Concourses A and B)","Boingo connected without fuss this time, but it`s slower`n snail piss... (MDW, Food Count between Concourses A and B)",1,0,neutral,negative
also finally home with no NOT_friends NOT_or NOT_anyone.. NOT_kinda NOT_nice NOT_to NOT_sit NOT_in NOT_a NOT_quiet NOT_room.. NOT_do NOT_wish NOT_the NOT_gf NOT_was NOT_here NOT_tho...,also finally home with no NOT_friends NOT_or NOT_anyone.. NOT_kinda NOT_nice NOT_to NOT_sit NOT_in NOT_a NOT_quiet NOT_room.. NOT_do NOT_wish NOT_the NOT_gf NOT_was NOT_here NOT_tho...,2,1,positive,neutral
Traffic jam outside of chicago. I feel very 'office space' right now.,Traffic jam outside of chicago. I feel very 'office space' right now.,2,0,positive,negative
Rejecting all food substances.,Rejecting all food substances.,0,1,negative,neutral
"just woke up, it laura`s last full day here Last night we watched embarrassing home movie","just woke up, it laura`s last full day here Last night we watched embarrassing home movie",0,1,negative,neutral
"it`s the small thing in life that count, like being on a blur photograph of google streetview.. keep following !!!","it`s the small thing in life that count, like being on a blur photograph of google streetview.. keep following !!!",2,1,positive,neutral
"I need a restful weekend, but I will have to work instead","I need a restful weekend, but I will have to work instead",2,1,positive,neutral
F...you very very much willkommen im Twitterland,F...you very very much willkommen im Twitterland,1,0,neutral,negative
I use NewsFire. Works like a charm,I use NewsFire. Works like a charm,2,1,positive,neutral
meet - she is the Zombie expert i believe..,meet - she is the Zombie expert i believe..,2,1,positive,neutral
After 42 hour of not NOT_sleeping NOT_it NOT_is NOT_time NOT_for NOT_bed. NOT_Alaska-so NOT_far NOT_so NOT_good,After 42 hour of not NOT_sleeping NOT_it NOT_is NOT_time NOT_for NOT_bed. NOT_Alaska-so NOT_far NOT_so NOT_good,2,1,positive,neutral
interesting to see the differing accounts. mandy is always VERY pc in all her accounts. her robbie is a monk!,interesting to see the differing accounts. mandy is always VERY pc in all her accounts. her robbie is a monk!,1,2,neutral,positive
"It`s clear intellectually that severing my relationship wa best, yet my heart seems 2 B in complete disagreement. It hurt so so much","It`s clear intellectually that severing my relationship wa best, yet my heart seems 2 B in complete disagreement. It hurt so so much",1,0,neutral,negative
"Masson I`ll give you the link, it`s quite handy","Masson I`ll give you the link, it`s quite handy",2,1,positive,neutral
"_Guy In the past it wa ok but since iÃ¯Â¿Â½ve got my own appartment, my own car..itÃ¯Â¿Â½s very difficult to save the money","_Guy In the past it wa ok but since iÃ¯Â¿Â½ve got my own appartment, my own car..itÃ¯Â¿Â½s very difficult to save the money",0,1,negative,neutral
One lactose pill is not NOT_enough NOT_for NOT_coffee..oopse,One lactose pill is not NOT_enough NOT_for NOT_coffee..oopse,1,0,neutral,negative
too many good show coming up and no NOT_money NOT_to NOT_buy NOT_tickets. NOT_fmfl. NOT_brand NOT_new NOT_at NOT_the NOT_troub?,too many good show coming up and no NOT_money NOT_to NOT_buy NOT_tickets. NOT_fmfl. NOT_brand NOT_new NOT_at NOT_the NOT_troub?,2,1,positive,neutral
"I`ve been losing myself into too many Taiwanese dramas.. ??, ??, ??... this is not NOT_good. NOT_laugh NOT_But NOT_Wu NOT_Chun! NOT_Eee.","I`ve been losing myself into too many Taiwanese dramas.. ??, ??, ??... this is not NOT_good. NOT_laugh NOT_But NOT_Wu NOT_Chun! NOT_Eee.",0,1,negative,neutral
": Hi, there! I`m sorry for not NOT_telling NOT_you NOT_Let`s NOT_meet NOT_up! NOT_With NOT__meirizka NOT_too. NOT_You NOT_promised NOT_to NOT_treat NOT_us! NOT_laugh",": Hi, there! I`m sorry for not NOT_telling NOT_you NOT_Let`s NOT_meet NOT_up! NOT_With NOT__meirizka NOT_too. NOT_You NOT_promised NOT_to NOT_treat NOT_us! NOT_laugh",1,0,neutral,negative
"finally gone to the beach, yeaah!","finally gone to the beach, yeaah!",2,1,positive,neutral
"STRESSED AS HELL (, but still surviving","STRESSED AS HELL (, but still surviving",2,0,positive,negative
_N - me too!! I don`t want to ooze while speaking either! (why do I have lame joke about wiping social medium off my shoe? lol),_N - me too!! I don`t want to ooze while speaking either! (why do I have lame joke about wiping social medium off my shoe? lol),1,0,neutral,negative
Dreading the weekly grocery shopping.,Dreading the weekly grocery shopping.,0,1,negative,neutral
will maybe have my cell phone soon ! Yeah !,will maybe have my cell phone soon ! Yeah !,2,1,positive,neutral
"Haha, she`s up here to stay, it`s nearly 2 hour on the coach for her to get here, may not NOT_be NOT_convenient NOT_for NOT_an NOT_hour NOT_of NOT_TV!","Haha, she`s up here to stay, it`s nearly 2 hour on the coach for her to get here, may not NOT_be NOT_convenient NOT_for NOT_an NOT_hour NOT_of NOT_TV!",0,1,negative,neutral
and i have cheese and no NOT_chips.,and i have cheese and no NOT_chips.,0,1,negative,neutral
i wish people would leave jon & kate alone i really like that show,i wish people would leave jon & kate alone i really like that show,2,1,positive,neutral
if aint Bee then it aint me...ya heard me? {this for u keemie},if aint Bee then it aint me...ya heard me? {this for u keemie},1,0,neutral,negative
bout tuh head out an find sum wher tuh go an chill,bout tuh head out an find sum wher tuh go an chill,2,1,positive,neutral
getting ready for work. boohoohoo i dont wanna go to work!,getting ready for work. boohoohoo i dont wanna go to work!,0,1,negative,neutral
"why did I get airbrushed **, if soon a i put my dress on it messed it up a little...eerr","why did I get airbrushed **, if soon a i put my dress on it messed it up a little...eerr",1,0,neutral,negative
URL <--- Paranoid. I actually like it better performed live rather than the studio version.,URL <--- Paranoid. I actually like it better performed live rather than the studio version.,1,2,neutral,positive
"URL Just got a crush on this song! Disco`s Out! Murder`s In! ruleaz?, zic! URL","URL Just got a crush on this song! Disco`s Out! Murder`s In! ruleaz?, zic! URL",1,2,neutral,positive
"bye y`all wolverine soon ooaf hugh jackman, tell ya what he can sctrahc me anytime wink","bye y`all wolverine soon ooaf hugh jackman, tell ya what he can sctrahc me anytime wink",1,2,neutral,positive
leather jackets=uncomfortable..not my thing,leather jackets=uncomfortable..not my thing,0,1,negative,neutral
They took my property,They took my property,0,1,negative,neutral
_august84 hahahaha now that is a spooky wish babe how about a lifetime supply of shoe with matching bag and constant weight?,_august84 hahahaha now that is a spooky wish babe how about a lifetime supply of shoe with matching bag and constant weight?,0,2,negative,positive
do it and I`ll give you the first hug,do it and I`ll give you the first hug,2,1,positive,neutral
Then me disliking you is a rumor! cyndi! What made it look like i didn`t like you?,Then me disliking you is a rumor! cyndi! What made it look like i didn`t like you?,0,1,negative,neutral
What time you close today? Is it the last day today or tmr? I may shed a tear,What time you close today? Is it the last day today or tmr? I may shed a tear,0,1,negative,neutral
can u believe the architect who planned a tar-black promenade in this small town won an international prize?and everyone who walk & jog,can u believe the architect who planned a tar-black promenade in this small town won an international prize?and everyone who walk & jog,2,1,positive,neutral
"my cat just fell off my bed lmfao, bless her. she got a fright **","my cat just fell off my bed lmfao, bless her. she got a fright **",1,2,neutral,positive
cant NOT_** NOT_wait NOT_mate!!! NOT_it NOT_is NOT_goin NOT_to NOT_fantastic. NOT_its NOT_made NOT_my NOT_week,cant NOT_** NOT_wait NOT_mate!!! NOT_it NOT_is NOT_goin NOT_to NOT_fantastic. NOT_its NOT_made NOT_my NOT_week,2,1,positive,neutral
I do now LOL.,I do now LOL.,2,1,positive,neutral
_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,2,1,positive,neutral
"Feeling inspired this evening, huh?","Feeling inspired this evening, huh?",2,1,positive,neutral
What the hell Ross?! Where is Hugh Laurie! He wa supposed to be on tonight show,What the hell Ross?! Where is Hugh Laurie! He wa supposed to be on tonight show,1,0,neutral,negative
